2fd2e05 5_1_jdk_21
eeaae70 4_10_add_hsqldb
d0b18d3 4_9_add_named_query_and_transaction
e3d0601 4_8_add_jpa
abc8b0a 4_7_create_inmemory_test_ctx
90f2c7c 4_6_init_and_populate_db
4068013 4_5_improve_code
04ca57a 4_4_HW3_fix_logging
a46fe82 4_3_tests_refactoring
6715521 4_2_HW3_optional
f1a1451 4_1_HW3
d969895 3_15_fix_servlet
4f3a63b 3_14_test_logging
8f457e8 3_13_test_UserService
fb1fc76 3_12_db_implementation
050609d 3_10_add_spring_test
9ef5a22 3_09_add_junit
37a80a2 3_08_bean_life_cycle
a159a89 3_07_HW2_optional_select_user
644a628 3_06_HW2_optional_filter
4f54124 3_05_HW2_optional_MealServlet
e6ecb63 3_04_refactor_repository
68ab563 3_03_HW2_meal_layers
4872e2b 3_02_HW2_repo_filters
d1c5156 3_01_HW2_repositories
0ab2621 2_7_annotation_processing
be3fc93 2_6_dependency_injection
a2afa09 2_5_add_spring_context
4e0edf2 2_4_add_spring
cf3644a 2_3_app_layers
b080089 2_2_HW1_optional
ae1c1af 2_1_HW1
fa8c7e5 1_6_logging_config
5415169 1_5_simple_logging
9b98082 1_4_forward_to_redirect
b9249e9 1_3_servlet_api
994793e 1_2_war
224552a 1_1_HW0_streams
cae010f 1_0_fix_rename
eef19b0 prepare_to_HW0_patch
c3aa24d Update demo urls and schedule for TopJava37
