c7caa52 升级到java21
3911b6c 尝试引入@Cacheable和@CacheEvict
cf4e4e4 去掉/building/getAllBuildingTypes的api
4b5cafc 声明RestResponseVo的泛型类型
a8fb7a8 修复关于spriteCacheMap的NPE
692307f 使用断言消除IDEA关于NPE的警告
daaf62b 开发环境开启断言
99d5bf7 为 `Map.get` 和 `BaseMapper.selectById` 添加 `@Nullable` 的外部注解，以进行空检查
49b4a73 删除无用的import
af6f72d 删除NonNull注解，避免lombok的运行时检查
97d78ee GitHub上显示SQL占比
f2d65f1 将ItemService中的一些功能转移到EffectService；删除无用的import
c464e93 fix bugs
684a92c service层返回VO而非DO
3e260dd bean之间可以相互继承
d9a9122 设计BO，以区分于DO
271fd08 区分GameMapDo和GameMapVo
0bf35d3 bean的字段标注是否可空
3ddb91c 使用 `@Nullable` 实现空安全
15ea3bb 接收websocket消息时进行参数校验
04d2ed2 rest接口进行参数校验
a144697 代码整理
6d91742 设置NonNullApi和NonNullFields
8b4f464 使用 `mybatis-plus` 取代大部分SQL注解
b538f58 更新TODO
b0c74e9 更新TODO
63b4025 Update TODO.md
5aafab4 更新todo
04d686d application.template.yml的一些设置通过环境变量获得；用户上传的文件挂载到volume中
4fd757c vue热部署
e7d8cc7 加快vue开发过程中的的docker构建速度
625d5b4 加快java开发过程中的的docker构建速度
27d3886 测试时暴露mysql和redis的端口
f4b996e redis中使用命名卷代替匿名卷
b97a838 使用命令卷代表路径卷，以提高在windows下的io性能
fef9fa0 将node_modules等目录放进.dockerignore中
24c108f 加快java镜像构建速度
2188927 击败敌人时自己的主人也得到同等的经验和金钱奖励，获得的物品归主人所有
febecee attributechange只显示一行
f22d07f 减少摘苹果时间
a72dfd7 按f索敌（如果上一个敌人在视野内，则选择上一个敌人，否则搜索视野内最近的敌人）；将spriteScheduler的部分代码封装到GameMapService里面
ef7745b 添加法棍
fd2c18a 减缓视野和攻击范围上升速度
11e3ead 更新todo
e9fa811 添加关于集群的todo
7cc8811 完成私聊模块的接口测试，并开始设计聊天模块的前端界面
c97889b 完成发送文本、图片、视频、文件聊天内容的后端部分
f8a3ec4 完成私聊模块的后端
5a23b35 完成聊天模块除了文件上传和群组功能的其他所有功能的后端
adfab29 设计聊天模块
bf53dc5 击败精灵的奖励与被击败的精灵的等级有关
18cf4a1 设置精灵满级后无法升级和获得经验
7a90121 当精灵等级为n时，升级所需经验值为n*EXP_PER_LEVEL
1e9c3b0 简化碰撞形状，减少前端计算负担
7e2928d 使用消息队列处理websocket的发送，避免了锁的使用
0721138 修复当玩家正在补间动画（移动）时被杀死，不会回到原点的bug
82d4cc2 修复交互时对方不存在的bug
e251132 减慢升级时速度增长速度；设置精灵速度上限
dc3aab1 使用序列号完全避免重复的交互事件
96727a4 使用消息队列替代锁解决多线程并发问题
2fbf282 精灵的cache只能通过spriteCacheMap访问
79efd17 修复重复计算伤害的bug
3948273 在TODO中添加可行的加锁方案
31512de 前端不依据精灵的主人进行任何逻辑判断，因为后端的精灵易主没有同步给前端
99833f6 蜘蛛会在地图上随机游走；减少精灵数目防止卡顿
07dce8f 蜘蛛会主动攻击附近的精灵
59e65ca 更改蜘蛛的素材
042dd41 所有夜行动物从黎明开始受到烧伤效果，直到黄昏
28d4aa0 从SpriteService中剥离EffectService，管理效果的读取和更新
d6988cd 将手持物品、放入物品栏、装备物品、放入背包从SpriteService移动到ItemService
e0ea891 修复蜘蛛形状错误
7083868 添加蜘蛛
700fab7 击败精灵后提高经验值、金钱、获得掉落物品
0ed74d2 实现喂食精灵
8124599 将精灵刷新的设置存储到数据库中
9dcf4ef 更新todo
0e85f45 削弱防具的效果
139e6fe 修复时间进度条静止的bug
f5aa4f7 修复无法刷新精灵的bug
39eead5 将一些字面值放到Constants类里面；随机创建的精灵具有不同的等级；精灵升级时增加的属性值和它的基础属性值有关
b22576d 精灵死亡后其所属的宠物也同时死亡
8d91390 精灵永久死亡后其宠物和所属建筑恢复自由；删除精灵时进行级联删除，避免SQLIntegrityConstraintViolationException；后端开始支持级联主仆关系，但前端尚不支持
