14de5d4 5_1_jdk_21
ad151b9 4_10_add_hsqldb
f6cc010 4_9_add_named_query_and_transaction
1fbe07c 4_8_add_jpa
f139ef7 4_7_create_inmemory_test_ctx
9d7db40 4_6_init_and_populate_db
d75788e 4_5_improve_code
5915eee 4_4_HW3_fix_logging
27c7eb0 4_3_tests_refactoring
afceb87 4_2_HW3_optional
7cfd3bd 4_1_HW3
26a3bd3 3_15_fix_servlet
8320572 3_14_test_logging
863a955 3_13_test_UserService
c417131 3_12_db_implementation
80edb25 3_11_add_postgresql
717b5bb 3_10_add_spring_test
e08c1e9 3_09_add_junit
eb6ffc3 3_08_bean_life_cycle
d4fdfaa 3_07_HW2_optional_select_user
e4ea491 3_06_HW2_optional_filter
7f4bc64 3_05_HW2_optional_MealServlet
59930fd 3_04_refactor_repository
f029283 3_03_HW2_meal_layers
c9e6bb7 3_02_HW2_repo_filters
58ba399 3_01_HW2_repositories
92e6a27 2_7_annotation_processing
db08c50 2_6_dependency_injection
c1d4f55 2_4_add_spring
ab661d1 2_4_add_spring
ed62552 2_3_app_layers
0b13bc6 2_2_HW1_optional
14acbc2 move *.md into doc folder
a86bb1b 2_1_HW1
8b7125f 1_6_logging_config
a854b9e 1_5_simple_logging
5f7e015 1_4_forward_to_redirect
0593213 1_3_servlet_api
421b1b8 1_2_war
9a161fb 1_1_HW0_streams
868d107 1_0_fix_rename
65e6fee prepare_to_HW0_patch
67f1c19 Update schedule for TopJava33
