d5439c0 修改爬虫bug，以及删除单体BaseApi应用
6a5352f 修复邮件发送失败问题
8458960 提交
72ff423 后端重构，集成咸鱼远程配置，优化
d570837 Update pom.xml
bd169e9 2021第一版更新：新增个人中心/在线用户功能
e21eb58 默认取用户ID:0000
af815c4 验证码更新
f402f91 修复弹出验证码样式问题
e7f2176 修复弹出验证码样式问题
83889e6 更新reademe中网站网址
fa57868 HttpUtils工具类优化
78f451f 过滤第三方登录用户名含有emjoy或特殊字符串 更新QQ第三方登录获取用户信息
19c57c7 常用参数获取加入redis缓存 用户个人中心完善 第三方qq登录现在可以获取用户图像昵称等
df5efeb 增加个人中心，尚未实现上传图像功能
213fd4f 增加个人中心，尚未实现上传图像功能
154bb2f 去除BaseProperties
73cb17c Merge branch 'master' of https://hub.fastgit.org/xianyum/BaseDemo
5d9bb18 样式微调
1a56147 程序设计表格优化
0e2b189 根据ip获取地理位置，增加不传参数，查询当前请求者ip地理位置
80c7f46 适配最新谷歌浏览器，登录背景图切换为必应每日推荐，首页调整样式
612ac14 1. 头部样式修改，禁用反转样式 2. 删除无用引用，以及多余依赖文件
a8aa864 升级element-ui版本
a6c5a05 更新banner为xianyum
d0123c5 去除AreaUtils
7408473 v1.0.0发布
c2d6e51 HttpUtils工具重构，采用OkHttps
966c004 Merge branch 'master' of https://hub.fastgit.org/xianyum/BaseDemo
64db87e 升级api相关依赖，解决冲突
bcdd3ae 更改项目主体语言为Java
a80302e 小更新
9208b73 更新readme文档
18624b3 删除prod配置
98df7aa 去除隐私配置
9b6805d Create LICENSE
49964e9 更换七牛云https地址
e0b6e6d 更改七牛云直接上传
bf01b63 提交获取七牛云token
763c14a 切换为undertow容器
2e3f8e5 因userId为String类型引发判断出错问题
3279fae 增加查看帮助按钮
c42a735 修改userId为String类型
a41a499 查看实时进度表底图从常用参数中取
9faa233 细节优化
a542e1e 程序设计菜单图标优化，增加首页更新日志
557e270 细节优化，去除多余日志
ea6542d Merge remote-tracking branch 'origin/master'
f5f11be 代码权限优化，新增程序订单系统
ef23f5f 提交个小bug
eae4092 增加访客权限
fa95639 增加访客权限
8f7f3a4 更新
5c7cf7a 更新微信推送二维码
c4c0966 更新样式
0321d28 消息推送时间
87ac29e 更新样式
e71eefa 更新
7d67753 消息推送时间
112458a 增加版本发布页面
79e070d 增加两个svg
10f4b97 增加获取系统常用参数接口
8c9b4cb Merge remote-tracking branch 'origin/master'
27e52b8 更换ipdb
aac3d14 切换路径
bffc01e 增加自定义滑动验证图片http://www.topdodo.com/meditor
4e13a68 增加滑动验证
b8ece71 日志级别为INFO
f3b3ccf 增加日志写入量趋势图
6072015 增加日志写入量趋势图
49c94a5 更改job执行时间
b1e47fa 增加钉钉推送
9f9351a 新增报表推送
bbaa731 使用node 10版本
b10b238 更换微信，qq第三方回调地址，切换为：http://xianyum.cn/base/
8013a14 更换微信，qq第三方回调地址，切换为：http://xianyum.cn/base/
8998426 爬取数据界面查询优化
c3e50f5 优化代码。升级爬虫框架版本
61ef029 代码优化
6e96dec 打包跳过测试
4620481 提交代码
374c50e 更新一版本地获取ip详细位置
daabc44 更新一版本地获取ip详细位置
b98b50f 替换ip
bc4546d 日志修改
173b50e 日志修改
9c151af 保存日志改为异步
621a750 更新小刀爬取数据
6491d9d 更新小刀爬取数据
53dc635 增加文件上传接口
3fb373d 修正首页一个错误
fe8e785 首页改版
e26a8c1 首页改版
ea78306 增加qq三方登录bug
fc35218 增加qq三方登录
1afb756 增加QQ第三方登录
7094c9f 更改路径
79e08aa 更换服务器
ee28d7b 事务管理采用@Transactional(rollbackFor = Exception.class)
2f30c99 element-ui版本更新
c9f7385 取消打印
5ea2b08 获取ip地址接口更换
d24b899 更换获取ip详细信息接口
3ad7403 Merge remote-tracking branch 'origin/master'
84784b5 更换获取ip详细信息接口
dba22c5 登录界面改版
18f3b59 本页面跳转
fdd462d 删除
45f1aa9 更换回调地址
14e3ead 增加阿里第三方登录
83bcd91 Merge remote-tracking branch 'origin/master'
00a81e1 增加阿里第三方登錄
0c01b32 增加阿里第三方登錄
9a04d04 增加阿里第三方登录
b89bb98 提交修改
1d311eb 修改登录背景图不显示问题
1b1babb 用户修改重复校验问题
8c5ebdf 天气显示
7f853d6 增加天气插件
bd77120 gzip打包
40d3967 集成swagger2
a88861c 集成swagger2
60440bc 微信回调增加日志记录
0ee7ec2 增加微信推送中心列表展示
604ed78 增加小刀爬虫数据关注二维码
6e2e3ed 添加微信推送中心
51f0021 增加个人博客显示
4730fb7 提交爬虫数据监控查询页面
2fcb7ef 提交爬虫数据监控查询页面
cf23558 增加查询小刀数据
3130aa5 爬虫发布
67527e7 网站爬取demo
f0dd850 背景图片获取更改
36d7c17 增加获取区域信息utils
652a4b7 增加更新日志
54e28f7 更正细节
513f648 更改细节错误
8311eca 前端增加日志页面
aba1012 增加AuthUserToken默认
2be4f03 增加验证码配置
1b54fab 增加验证码为运算的
05b7e19 增加登录日志
2473e3e 增加日志配置
5420dda 增加登录注册按钮
bc67f75 增加登录注册按钮
1a80d1a 修改BaseDemo
10a72fe 增加swagger生产关闭配置
95e098c 增加腾讯云配置
a3755ae 初始提交
76b6394 优化菜单
6b07388 增加数据库
aecc4a7 增加redis/mybatis-plus
